track,collection,file_name,series_id,model,source_model_dir,auc_roc,aff_f1,alpha,sae_score,Short,Medium,Long,Total,source_bundle_tag,source_bundle_output_dir,source_slice_tag,source_slice_output_dir
multi,MITDB,024_MITDB_id_6_Medical_tr_50000_1st_58118.csv,024_MITDB_id_6_Medical_tr_50000_1st_58118,HBOS,HBOS,0.4670060503814728,0.0071174377224199285,1.0,0.0071174377224199285,0,0,1,1,tsbad_bundle_multi_classical_multi_a_0000_0050,<REPO_ROOT>/experiments/results/tsbad_scaleup_from_bundles/tsbad_bundle_multi_classical_multi_a_0000_0050,multi_0000_0050_all_available_complete_no_kshape,<REPO_ROOT>/experiments/results/tsbad_scaleup_merged/multi_0000_0050_all_available_complete_no_kshape
multi,MITDB,025_MITDB_id_7_Medical_tr_37500_1st_88864.csv,025_MITDB_id_7_Medical_tr_37500_1st_88864,HBOS,HBOS,0.5336794309846568,0.02466633264949369,1.0,0.02466633264949369,0,0,6,6,tsbad_bundle_multi_classical_multi_a_0000_0050,<REPO_ROOT>/experiments/results/tsbad_scaleup_from_bundles/tsbad_bundle_multi_classical_multi_a_0000_0050,multi_0000_0050_all_available_complete_no_kshape,<REPO_ROOT>/experiments/results/tsbad_scaleup_merged/multi_0000_0050_all_available_complete_no_kshape
multi,MITDB,026_MITDB_id_8_Medical_tr_30495_1st_30595.csv,026_MITDB_id_8_Medical_tr_30495_1st_30595,HBOS,HBOS,0.4866730797507525,0.07312981145192562,1.0,0.07312981145192562,0,0,48,48,tsbad_bundle_multi_classical_multi_a_0000_0050,<REPO_ROOT>/experiments/results/tsbad_scaleup_from_bundles/tsbad_bundle_multi_classical_multi_a_0000_0050,multi_0000_0050_all_available_complete_no_kshape,<REPO_ROOT>/experiments/results/tsbad_scaleup_merged/multi_0000_0050_all_available_complete_no_kshape
multi,MITDB,027_MITDB_id_9_Medical_tr_25000_1st_52255.csv,027_MITDB_id_9_Medical_tr_25000_1st_52255,HBOS,HBOS,0.5321575910992519,0.009934186017633179,1.0,0.009934186017633179,0,0,1,1,tsbad_bundle_multi_classical_multi_a_0000_0050,<REPO_ROOT>/experiments/results/tsbad_scaleup_from_bundles/tsbad_bundle_multi_classical_multi_a_0000_0050,multi_0000_0050_all_available_complete_no_kshape,<REPO_ROOT>/experiments/results/tsbad_scaleup_merged/multi_0000_0050_all_available_complete_no_kshape
multi,MITDB,029_MITDB_id_11_Medical_tr_50000_1st_518037.csv,029_MITDB_id_11_Medical_tr_50000_1st_518037,HBOS,HBOS,0.6764053422482239,0.008198691392066968,1.0,0.008198691392066968,0,0,5,5,tsbad_bundle_multi_classical_multi_a_0000_0050,<REPO_ROOT>/experiments/results/tsbad_scaleup_from_bundles/tsbad_bundle_multi_classical_multi_a_0000_0050,multi_0000_0050_all_available_complete_no_kshape,<REPO_ROOT>/experiments/results/tsbad_scaleup_merged/multi_0000_0050_all_available_complete_no_kshape
multi,MITDB,030_MITDB_id_12_Medical_tr_50000_1st_84572.csv,030_MITDB_id_12_Medical_tr_50000_1st_84572,HBOS,HBOS,0.5338207137646582,0.09444864316645722,1.0,0.09444864316645722,0,0,59,59,tsbad_bundle_multi_classical_multi_a_0000_0050,<REPO_ROOT>/experiments/results/tsbad_scaleup_from_bundles/tsbad_bundle_multi_classical_multi_a_0000_0050,multi_0000_0050_all_available_complete_no_kshape,<REPO_ROOT>/experiments/results/tsbad_scaleup_merged/multi_0000_0050_all_available_complete_no_kshape
multi,MITDB,031_MITDB_id_13_Medical_tr_50000_1st_79433.csv,031_MITDB_id_13_Medical_tr_50000_1st_79433,HBOS,HBOS,0.5108511072925231,0.03992862771749782,1.0,0.03992862771749782,0,0,28,28,tsbad_bundle_multi_classical_multi_a_0000_0050,<REPO_ROOT>/experiments/results/tsbad_scaleup_from_bundles/tsbad_bundle_multi_classical_multi_a_0000_0050,multi_0000_0050_all_available_complete_no_kshape,<REPO_ROOT>/experiments/results/tsbad_scaleup_merged/multi_0000_0050_all_available_complete_no_kshape
multi,GHL,032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,032_GHL_id_1_Sensor_tr_50000_1st_65001,HBOS,HBOS,0.5353660946804559,0.0,1.0,0.0,0,0,2,2,tsbad_bundle_multi_classical_multi_a_0000_0050,<REPO_ROOT>/experiments/results/tsbad_scaleup_from_bundles/tsbad_bundle_multi_classical_multi_a_0000_0050,multi_0000_0050_all_available_complete_no_kshape,<REPO_ROOT>/experiments/results/tsbad_scaleup_merged/multi_0000_0050_all_available_complete_no_kshape
multi,GHL,033_GHL_id_2_Sensor_tr_50000_1st_51001.csv,033_GHL_id_2_Sensor_tr_50000_1st_51001,HBOS,HBOS,0.3272345219030012,0.0,1.0,0.0,0,0,2,2,tsbad_bundle_multi_classical_multi_a_0000_0050,<REPO_ROOT>/experiments/results/tsbad_scaleup_from_bundles/tsbad_bundle_multi_classical_multi_a_0000_0050,multi_0000_0050_all_available_complete_no_kshape,<REPO_ROOT>/experiments/results/tsbad_scaleup_merged/multi_0000_0050_all_available_complete_no_kshape
multi,GHL,034_GHL_id_3_Sensor_tr_50000_1st_122001.csv,034_GHL_id_3_Sensor_tr_50000_1st_122001,HBOS,HBOS,0.5202459144424841,0.0,1.0,0.0,0,0,2,2,tsbad_bundle_multi_classical_multi_a_0000_0050,<REPO_ROOT>/experiments/results/tsbad_scaleup_from_bundles/tsbad_bundle_multi_classical_multi_a_0000_0050,multi_0000_0050_all_available_complete_no_kshape,<REPO_ROOT>/experiments/results/tsbad_scaleup_merged/multi_0000_0050_all_available_complete_no_kshape
